Days passed,VET,VEX,APY
0,15473.0,1122.0,0.0
1,24736.377150183827,696.3344941472161,-36.30173423658749
2,28401.276310181755,608.6156643962187,-27.79206396923492
3,26007.914982620463,666.7073471806308,-13.15988609673937
4,24618.015881101583,705.4245759093901,-7.553041660599031
5,19468.004979542184,894.5383141825861,-0.557110588858132
6,18849.663832753824,962.7953086647004,0.2050429980096287
7,18991.16945871712,962.218240732807,0.2838716420884039
8,20050.22320483601,921.9850505856494,-0.0337975702218543
9,20491.25129950444,910.7538889705722,-0.0589800105764363
10,21352.207751363065,877.780332621292,-0.4028687989803453
11,21514.400013446608,879.6111527492731,-0.2741340119333469
12,21591.697431839275,881.3083043317621,-0.1979774533435629
13,20875.157621456703,914.3319935896228,0.149174353819824
14,21341.06825648281,900.2931692581342,0.0583935149993315
15,21581.57296630382,895.6795450816297,0.04743634533580302
